Name,Style,Unique Entry ID
A tee,Simple,7XCg953t2tGAPuzaR
acid-washed jacket,Simple,zAiLmCwSaWADqXkRf
after-school jacket,Cool,rAfEdHYdt5e4AGTya
annyeong tee,Simple,mfMor9YWpsoEbPK5e
anorak jacket,Simple,agpR79ZTHcuQheDdF
apron,Simple,LTZqXvkrNxza2nMPb
argyle vest,Simple,QfjxZgK6b3zp2hr7T
athletic jacket,Active,zgcZP2SW38SpysHJA
baggy shirt,Simple,LCtayENx9EyLYa4Za
baseball shirt,Active,vYCgqwhsoMRcDJfF3
basketball tank,Active,dKYrtNZerQWq6Gt7W
bear tee,Active,6smBqDtdwrcsSvnSD
big-star tee,Simple,JpATLjagWyw8q8zqx
biker jacket,Cool,evbChpmd6EcLcM3Tz
bomber-style jacket,Cool,vih97zG2HgN8cg54w
bonjour tee,Simple,2eprjJTFoSP9v8fem
bug aloha shirt,Cool,2QNcM4zFTsb93fzeP
bulldog jacket,Cool,ggs2xnxP45Y8SPtKL
business suitcoat,Cool,LzQ8TynJGkTh4xXQa
café uniform,Elegant,SHHiYrQ9ozi4X7iqW
camo bomber-style jacket,Cool,WGTwz7iBBHyb8KL72
camper tee,Simple,WiN73dy22JaKPfnmp
cardigan-shirt combo,Simple,i7Ho5GcyLKTM2XHrS
career jacket,Simple,XoNL6nqajp9KnbpHq
cavalier shirt,Elegant,nBndstHR8fhG5snhk
chef's outfit,Simple,PmgtXM5uAc3NPRnAz
chesterfield coat,Cool,iKHJSLdsEd9zKTSXy
Chimayo vest,Elegant,HbNYxoPDoXEGm6ipa
ciao tee,Simple,QPxsFRrvvtHwR2STb
collarless coat,Simple,o8Y5mHHTmLb6nPErk
college cardigan,Simple,2W9wjJt8rsBYSBcFM
color-block dress shirt,Simple,XAfQ8miFRhqMuD8qK
colorful striped sweater,Elegant,p8FitwTB3Nm8Enhkj
comedian's outfit,Gorgeous,9j3jmeuoxez6Zdgqd
